task,subset,support,positive_rate,precision,recall,specificity,f1,mcc,balanced_accuracy,macro_f1,weighted_f1,accuracy,hamming_loss,tn,fp,fn,tp,pr_auc,roc_auc
binary,all,101,0.33663366336633666,0.7804878048780488,0.9411764705882353,0.8656716417910447,0.8533333333333334,0.7764278298860702,0.9034240561896401,,,0.8910891089108911,,58.0,9.0,2.0,32.0,0.8536652552377655,0.9370061457418789
narrative_match,all,101,,,,,,0.55551009566758,0.5122305140961857,0.31081581148510284,0.7558169280629716,0.7326732673267327,0.26732673267326734,,,,,,
meta_narrative_match,all,101,,,,,,0.6237855078018214,0.5709103085968757,0.45633402967486203,0.7982243556189141,0.7821782178217822,0.21782178217821782,,,,,,
narrative_match,gold_narrative_only,34,,,,,,0.4318259843900597,0.4850427350427351,0.2988835725677831,0.48547237076648847,0.47058823529411764,0.5294117647058824,,,,,,
meta_narrative_match,gold_narrative_only,34,,,,,,0.5074215161056287,0.511958041958042,0.35960784313725486,0.6406805074971166,0.6176470588235294,0.38235294117647056,,,,,,
