task,subset,support,positive_rate,accuracy,hamming_loss,mcc,balanced_accuracy,precision,recall,specificity,f1,tn,fp,fn,tp,macro_f1,weighted_f1,pr_auc,roc_auc
binary,all,101,0.33663366336633666,0.8811881188118812,,0.7685436353920078,0.9032045654082528,0.75,0.9705882352941176,0.835820895522388,0.8461538461538461,56.0,11.0,1.0,33.0,,,0.8140616787647201,0.9319578577699736
narrative_match,all,101,,0.7326732673267327,0.26732673267326734,0.572983679225637,0.5418443496801706,,,,,,,,,0.3349875930521092,0.7637291272551574,,
level_1_match,all,101,,0.7623762376237624,0.2376237623762376,0.6056460224440278,0.5682661865497686,,,,,,,,,0.43812956469876857,0.7852111049337892,,
narrative_match,gold_narrative_only,34,,0.5294117647058824,0.47058823529411764,0.4913781890477441,0.5192307692307693,,,,,,,,,0.3311965811965812,0.5407993966817496,,
level_1_match,gold_narrative_only,34,,0.6176470588235294,0.38235294117647056,0.5045311155848493,0.5147552447552448,,,,,,,,,0.35555555555555557,0.642483660130719,,
