task,subset,support,positive_rate,accuracy,hamming_loss,mcc,balanced_accuracy,precision,recall,specificity,f1,tn,fp,fn,tp,macro_f1,weighted_f1,pr_auc,roc_auc
binary,all,101,0.33663366336633666,0.900990099009901,,0.8018026164672339,0.9181299385425812,0.7857142857142857,0.9705882352941176,0.8656716417910447,0.868421052631579,58.0,9.0,1.0,33.0,,,0.849267505936114,0.9451273046532046
narrative_match,all,101,,0.7425742574257426,0.25742574257425743,0.5776786710604288,0.5082622601279317,,,,,,,,,0.3072039072039072,0.771034466083971,,
level_1_match,all,101,,0.7821782178217822,0.21782178217821782,0.6286900777556832,0.5443951570817243,,,,,,,,,0.43603878332942375,0.8016360749375429,,
narrative_match,gold_narrative_only,34,,0.5,0.5,0.45657495309189633,0.48076923076923084,,,,,,,,,0.28984173721015827,0.5076443164678459,,
level_1_match,gold_narrative_only,34,,0.6176470588235294,0.38235294117647056,0.49132639790921695,0.4801398601398601,,,,,,,,,0.34310134310134316,0.6356209150326797,,
