task,subset,support,positive_rate,precision,recall,specificity,f1,mcc,balanced_accuracy,macro_f1,weighted_f1,accuracy,hamming_loss,tn,fp,fn,tp,pr_auc,roc_auc
binary,all,412,0.3592233009708738,0.7692307692307693,0.8783783783783784,0.8522727272727273,0.8201892744479495,0.7126829645199947,0.8653255528255528,,,0.8616504854368932,,225.0,39.0,18.0,130.0,0.7666033790252997,0.882985257985258
narrative_match,all,412,,,,,,0.5146380997546944,0.3980712343212343,0.29183320083045355,0.7097186766062793,0.7014563106796117,0.29854368932038833,,,,,,
meta_narrative_match,all,412,,,,,,0.5724612731848177,0.5083241749650419,0.39628994996041056,0.7613775538348337,0.7451456310679612,0.25485436893203883,,,,,,
narrative_match,gold_narrative_only,148,,,,,,0.39844299013373785,0.3799031746031746,0.2907813552771536,0.4404214007155184,0.43243243243243246,0.5675675675675675,,,,,,
meta_narrative_match,gold_narrative_only,148,,,,,,0.46369749195304594,0.46533060592658115,0.3435237021554204,0.603033729476638,0.5540540540540541,0.44594594594594594,,,,,,
