task,subset,support,positive_rate,precision,recall,specificity,f1,mcc,balanced_accuracy,macro_f1,weighted_f1,accuracy,hamming_loss,tn,fp,fn,tp,pr_auc,roc_auc
binary,all,103,0.34951456310679613,0.3225806451612903,0.5555555555555556,0.373134328358209,0.40816326530612246,-0.06946275787246022,0.46434494195688225,,,0.4368932038834951,,25.0,42.0,16.0,20.0,0.3314053903001876,0.41583747927031506
narrative_match,all,103,,,,,,0.03181147335682087,0.16384066064236638,0.055791245791245794,0.3402062698179203,0.2912621359223301,0.7087378640776699,,,,,,
meta_narrative_match,all,103,,,,,,0.030371660927136113,0.33686437940169284,0.1380705491816603,0.36175166951865984,0.32038834951456313,0.6796116504854369,,,,,,
narrative_match,gold_narrative_only,36,,,,,,0.14345394644993603,0.14774114774114772,0.08712121212121213,0.18379629629629632,0.1388888888888889,0.8611111111111112,,,,,,
meta_narrative_match,gold_narrative_only,36,,,,,,0.1740893795409861,0.3296103896103896,0.17708333333333334,0.2939814814814815,0.2222222222222222,0.7777777777777778,,,,,,
