task,subset,support,positive_rate,precision,recall,specificity,f1,mcc,balanced_accuracy,macro_f1,weighted_f1,accuracy,hamming_loss,tn,fp,fn,tp,pr_auc,roc_auc
binary,all,103,0.34951456310679613,0.41379310344827586,0.3333333333333333,0.746268656716418,0.36923076923076925,0.08439130799785119,0.5398009950248757,,,0.6019417475728155,,50.0,17.0,24.0,12.0,0.40176202326868743,0.5381426202321724
narrative_match,all,103,,,,,,0.11340669775296006,0.14287406504890512,0.09288291651113599,0.5104202529321307,0.5339805825242718,0.46601941747572817,,,,,,
meta_narrative_match,all,103,,,,,,0.12615102397419742,0.23238676746139433,0.18656914893617021,0.5420815258555395,0.5533980582524272,0.44660194174757284,,,,,,
narrative_match,gold_narrative_only,36,,,,,,0.14750496375647076,0.09645909645909646,0.08775252525252525,0.17199775533108866,0.1388888888888889,0.8611111111111112,,,,,,
meta_narrative_match,gold_narrative_only,36,,,,,,0.1492735560677042,0.12961038961038962,0.16056166056166057,0.27849002849002846,0.19444444444444445,0.8055555555555556,,,,,,
