task,subset,support,positive_rate,accuracy,hamming_loss,mcc,balanced_accuracy,precision,recall,specificity,f1,tn,fp,fn,tp,macro_f1,weighted_f1,pr_auc,roc_auc
binary,all,103,0.34951456310679613,0.5242718446601942,,0.1384776139911358,0.5700663349917081,0.4,0.7222222222222222,0.417910447761194,0.5148514851485149,28.0,39.0,10.0,26.0,,,0.41353625091658386,0.5439469320066335
narrative_match,all,103,,0.32038834951456313,0.6796116504854369,0.10314272865733469,0.1829119707584526,,,,,,,,,0.06727716727716727,0.38455848358760986,,
level_1_match,all,103,,0.34951456310679613,0.6504854368932039,0.10534578408755921,0.34432706596885704,,,,,,,,,0.14314373897707233,0.40779781168130685,,
narrative_match,gold_narrative_only,36,,0.1388888888888889,0.8611111111111112,0.12178167485372732,0.16483516483516483,,,,,,,,,0.08197278911564625,0.14345238095238097,,
level_1_match,gold_narrative_only,36,,0.2222222222222222,0.7777777777777778,0.08907353889197003,0.3296103896103896,,,,,,,,,0.15357142857142858,0.25,,
