task,subset,support,positive_rate,precision,recall,specificity,f1,mcc,balanced_accuracy,macro_f1,weighted_f1,accuracy,hamming_loss,tn,fp,fn,tp,pr_auc,roc_auc
binary,all,103,0.34951456310679613,0.48717948717948717,0.5277777777777778,0.7014925373134329,0.5066666666666667,0.22537938478377434,0.6146351575456053,,,0.6407766990291263,,47.0,20.0,17.0,19.0,0.45117907981985655,0.6279021558872304
narrative_match,all,103,,,,,,0.15156526249884741,0.11813382069245608,0.07670229007633589,0.5172459793967242,0.49514563106796117,0.5048543689320388,,,,,,
meta_narrative_match,all,103,,,,,,0.17155007375673348,0.1883439943141436,0.1217557251908397,0.534721707552064,0.5145631067961165,0.4854368932038835,,,,,,
narrative_match,gold_narrative_only,36,,,,,,0.10619605982583369,0.07326007326007325,0.06666666666666668,0.1444444444444445,0.1111111111111111,0.8888888888888888,,,,,,
meta_narrative_match,gold_narrative_only,36,,,,,,0.11088648737962255,0.08571428571428572,0.06818181818181818,0.2121212121212121,0.16666666666666666,0.8333333333333334,,,,,,
