task,subset,support,positive_rate,precision,recall,specificity,f1,mcc,balanced_accuracy,macro_f1,weighted_f1,accuracy,hamming_loss,tn,fp,fn,tp,pr_auc,roc_auc
binary,all,103,0.34951456310679613,0.9090909090909091,0.5555555555555556,0.9701492537313433,0.6896551724137931,0.6116130620718059,0.7628524046434495,,,0.8252427184466019,,65.0,2.0,16.0,20.0,0.6912249732893575,0.7678275290215589
narrative_match,all,103,,,,,,0.4770465078449039,0.2549539716384066,0.20776945776945777,0.6963250604027303,0.7378640776699029,0.2621359223300971,,,,,,
meta_narrative_match,all,103,,,,,,0.5046391609779589,0.3443755249725399,0.35765180765180765,0.7194495087698971,0.7572815533980582,0.24271844660194175,,,,,,
narrative_match,gold_narrative_only,36,,,,,,0.3063417416260262,0.19993894993894995,0.17112299465240643,0.3627946127946128,0.3055555555555556,0.6944444444444444,,,,,,
meta_narrative_match,gold_narrative_only,36,,,,,,0.2802746152997882,0.21922077922077926,0.21798941798941796,0.4292768959435626,0.3611111111111111,0.6388888888888888,,,,,,
