task,subset,support,positive_rate,precision,recall,specificity,f1,mcc,balanced_accuracy,macro_f1,weighted_f1,accuracy,hamming_loss,tn,fp,fn,tp,pr_auc,roc_auc
binary,all,103,0.34951456310679613,0.8461538461538461,0.6111111111111112,0.9402985074626866,0.7096774193548387,0.6052446408488878,0.7757048092868989,,,0.8252427184466019,,63.0,4.0,14.0,22.0,0.7128454070201644,0.7873134328358209
narrative_match,all,103,,,,,,0.37861910751215844,0.1689215487189901,0.13026695526695525,0.6619079140923803,0.6796116504854369,0.32038834951456313,,,,,,
meta_narrative_match,all,103,,,,,,0.4440159962479919,0.3188376300316599,0.2981292517006802,0.7039412852519649,0.7184466019417476,0.2815533980582524,,,,,,
narrative_match,gold_narrative_only,36,,,,,,0.16981570630849566,0.10958485958485957,0.09792663476874003,0.26531986531986534,0.19444444444444445,0.8055555555555556,,,,,,
meta_narrative_match,gold_narrative_only,36,,,,,,0.2116744653680219,0.19454545454545452,0.17630385487528347,0.38866843033509707,0.3055555555555556,0.6944444444444444,,,,,,
