task,subset,support,positive_rate,precision,recall,specificity,f1,mcc,balanced_accuracy,macro_f1,weighted_f1,accuracy,hamming_loss,tn,fp,fn,tp,pr_auc,roc_auc
binary,all,103,0.34951456310679613,0.9473684210526315,0.5,0.9850746268656716,0.6545454545454545,0.5963219100843428,0.7425373134328358,,,0.8155339805825242,,66.0,1.0,18.0,18.0,0.640954937073164,0.7410862354892206
narrative_match,all,103,,,,,,0.4919117356228053,0.25828764341557514,0.21808855992728216,0.6867592533059003,0.7475728155339806,0.2524271844660194,,,,,,
meta_narrative_match,all,103,,,,,,0.5003870859517354,0.32846481876332617,0.3200543385973849,0.6933562162135428,0.7572815533980582,0.24271844660194175,,,,,,
narrative_match,gold_narrative_only,36,,,,,,0.33430037683367264,0.20238095238095238,0.17058823529411765,0.3453703703703704,0.3055555555555556,0.6944444444444444,,,,,,
meta_narrative_match,gold_narrative_only,36,,,,,,0.2745114472943071,0.19714285714285715,0.17806267806267806,0.3599240265906933,0.3333333333333333,0.6666666666666666,,,,,,
