task,subset,support,positive_rate,precision,recall,specificity,f1,mcc,balanced_accuracy,macro_f1,weighted_f1,accuracy,hamming_loss,tn,fp,fn,tp,pr_auc,roc_auc
binary,all,103,0.34951456310679613,0.9411764705882353,0.4444444444444444,0.9850746268656716,0.6037735849056604,0.5516929286001044,0.714759535655058,,,0.7961165048543689,,66.0,1.0,20.0,16.0,0.6189563686440472,0.711028192371476
narrative_match,all,103,,,,,,0.39139516103531447,0.17211984296206045,0.1631680123029604,0.6567802525540962,0.7087378640776699,0.2912621359223301,,,,,,
meta_narrative_match,all,103,,,,,,0.40433342916201964,0.2873392776377851,0.3124625288711976,0.6729631045059823,0.7184466019417476,0.2815533980582524,,,,,,
narrative_match,gold_narrative_only,36,,,,,,0.20006667222453725,0.10958485958485957,0.11241830065359476,0.2734567901234568,0.19444444444444445,0.8055555555555556,,,,,,
meta_narrative_match,gold_narrative_only,36,,,,,,0.17412285504933148,0.1477922077922078,0.16867167919799497,0.31975772765246446,0.2222222222222222,0.7777777777777778,,,,,,
