task,subset,support,positive_rate,precision,recall,specificity,f1,mcc,balanced_accuracy,macro_f1,weighted_f1,accuracy,hamming_loss,tn,fp,fn,tp,pr_auc,roc_auc
binary,all,103,0.34951456310679613,0.7714285714285715,0.75,0.8805970149253731,0.7605633802816901,0.6348221678143623,0.8152985074626866,,,0.8349514563106796,,59.0,8.0,9.0,27.0,0.7332823786159207,0.8322968490878939
narrative_match,all,103,,,,,,0.48280069389636765,0.41465715639489625,0.2645045695045695,0.7061717498610703,0.7087378640776699,0.2912621359223301,,,,,,
meta_narrative_match,all,103,,,,,,0.5196622103172134,0.44784842023648,0.34378306878306875,0.744947860481841,0.7378640776699029,0.2621359223300971,,,,,,
narrative_match,gold_narrative_only,36,,,,,,0.369139145275957,0.37881562881562875,0.24880382775119614,0.4208754208754209,0.3888888888888889,0.6111111111111112,,,,,,
meta_narrative_match,gold_narrative_only,36,,,,,,0.3819825326371544,0.36129870129870134,0.26083333333333336,0.5587037037037037,0.4722222222222222,0.5277777777777778,,,,,,
