phase,epoch,split,loss,general_f1,class_0_f1,class_1_f1,precision,recall,specificity,mcc,tn,fp,fn,tp,pr_auc,roc_auc,learning_rate
epoch,1,train,0.34959004056435805,0.77430260181427,0.7246476411819458,0.8087849020957947,0.8478478478478478,0.7731629392971247,0.7761413843888071,0.5382455529983677,3162,912,1491,5082,0.9026217294946365,0.8644537116143076,0.0003
epoch,1,val,0.30326974391937256,0.7748690843582153,0.7351129651069641,0.8042488694190979,0.8466453674121406,0.7658959537572254,0.788546255506608,0.5446887690093644,179,48,81,265,0.9211000893087464,0.89357286547325,0.0003
epoch,2,train,0.27431636207454557,0.83413165807724,0.7961210012435913,0.8601963520050049,0.8966826208945371,0.8265632131446828,0.8463426607756505,0.660441670111213,3448,626,1140,5433,0.9444941049055845,0.919305939166945,0.00029700099999999997
epoch,2,val,0.3054593503475189,0.7661430835723877,0.7518518567085266,0.7788779139518738,0.9076923076923077,0.6820809248554913,0.8942731277533039,0.5662151513425933,203,24,110,236,0.931920990310692,0.9097043619974026,0.00029700099999999997
epoch,3,train,0.2490856707901568,0.8451206684112549,0.8082334995269775,0.8701063394546509,0.902156158118262,0.8402555910543131,0.8529700540009818,0.6815708291819671,3475,599,1050,5523,0.9549130443071859,0.9339341085401587,0.00029400199999999997
epoch,3,val,0.2994798719882965,0.7853403091430664,0.7573964595794678,0.8075117468833923,0.8805460750853242,0.7456647398843931,0.8458149779735683,0.5787326830583363,192,35,88,258,0.9280424296369086,0.9090677599246262,0.00029400199999999997
epoch,4,train,0.22633516945101478,0.8653141856193542,0.8320449590682983,0.8875823020935059,0.9155749636098981,0.8612505705157463,0.8718703976435935,0.7221148119565692,3552,522,912,5661,0.9634159227025789,0.9458998897693747,0.00029100299999999996
epoch,4,val,0.26780831813812256,0.8359511494636536,0.7974137663841248,0.8621701002120972,0.875,0.8497109826589595,0.8149779735682819,0.6601241622559539,185,42,52,294,0.9387760409943519,0.9191515367574037,0.00029100299999999996
epoch,5,train,0.21637850230162567,0.8709495663642883,0.8403439521789551,0.8917086720466614,0.925102207686018,0.8606420203864293,0.8875797741777123,0.7354946221673186,3616,458,916,5657,0.9681107930062546,0.9508150822442654,0.00028800399999999996
epoch,5,val,0.2504173815250397,0.8289703130722046,0.7958333492279053,0.8528528809547424,0.8875,0.8208092485549133,0.8414096916299559,0.6522548635895921,191,36,62,284,0.9475822226255288,0.930202948740801,0.00028800399999999996
epoch,6,train,0.192894835975972,0.8922701478004456,0.864244282245636,0.9107045531272888,0.9325573979591837,0.8898524265936406,0.8961708394698086,0.7764896587243191,3651,423,724,5849,0.9747472546706855,0.96122199524826,0.00028500499999999996
epoch,6,val,0.246948704123497,0.8516579270362854,0.8187633156776428,0.8744460940361023,0.8942598187311178,0.8554913294797688,0.8458149779735683,0.6944437010805818,192,35,50,296,0.9508386038744524,0.9335769397265158,0.00028500499999999996
epoch,7,train,0.18418706631338275,0.8951817154884338,0.8678038120269775,0.913165271282196,0.9345437171524128,0.8927430397078959,0.8991163475699558,0.7824450395822569,3663,411,705,5868,0.9775191164133339,0.9645950680701559,0.00028200599999999996
epoch,7,val,0.23586568236351013,0.8551483154296875,0.8274428248405457,0.8751879930496216,0.9122257053291536,0.8410404624277457,0.8766519823788547,0.7066057262188156,199,28,55,291,0.9577959740548068,0.9425912250770287,0.00028200599999999996
epoch,8,train,0.17254156034227247,0.9052315354347229,0.8800095319747925,0.92169189453125,0.9407477820025348,0.9033926669709418,0.9081983308787432,0.802881597340255,3700,374,635,5938,0.9800481950840005,0.9692271405888969,0.00027900699999999995
epoch,8,val,0.23554271459579468,0.8743455410003662,0.8414096832275391,0.8959537744522095,0.8959537572254336,0.8959537572254336,0.8414096916299559,0.7373634488553895,191,36,36,310,0.9602713319859624,0.9459270199383769,0.00027900699999999995
epoch,9,train,0.16155135517453287,0.9092702269554138,0.884560227394104,0.9252669215202332,0.9412875806705493,0.9097824433287692,0.9084437898870888,0.810672199763443,3701,373,593,5980,0.9828971800952021,0.9730150253177915,0.00027600799999999995
epoch,9,val,0.23152866959571838,0.8848167657852173,0.8546255230903625,0.9046242833137512,0.9046242774566474,0.9046242774566474,0.8546255506607929,0.7592498281174404,194,33,33,313,0.9605479211613743,0.9483461078149269,0.00027600799999999995
epoch,10,train,0.15132982380039342,0.9185686111450195,0.8957807421684265,0.9331791996955872,0.9456419868791003,0.9210406207211319,0.914580265095729,0.8294781161052351,3726,348,519,6054,0.9848869818343622,0.9761910736869212,0.00027300899999999995
epoch,10,val,0.21509182453155518,0.8952879309654236,0.8672566413879395,0.9135446548461914,0.9109195402298851,0.9161849710982659,0.8634361233480177,0.780824943434191,196,31,29,317,0.9648674214979187,0.9546866644597793,0.00027300899999999995
epoch,11,train,0.13775738052374967,0.927491307258606,0.9072338342666626,0.9404872059822083,0.9532739490545398,0.9280389472082763,0.9266077565046638,0.8482632288500553,3775,299,473,6100,0.9874119551684998,0.9803222014517521,0.00027000999999999994
epoch,11,val,0.22807887196540833,0.886561930179596,0.8619957566261292,0.9037036895751953,0.9270516717325228,0.8815028901734104,0.8942731277533039,0.7673517107676218,203,24,41,305,0.967893999706452,0.957067556211963,0.00027000999999999994
epoch,12,train,0.12791152883533602,0.9350051879882812,0.9163442850112915,0.9468591809272766,0.955962164676694,0.937927886809676,0.9302896416298478,0.8634823651850652,3790,284,408,6165,0.9891504882691518,0.9828442339464467,0.00026701099999999994
epoch,12,val,0.17612509429454803,0.9249563813209534,0.9046562910079956,0.9381294846534729,0.9340974212034384,0.9421965317919075,0.8986784140969163,0.8428410279172972,204,23,20,326,0.9757658814184434,0.9674696340811285,0.00026701099999999994
epoch,13,train,0.11313425771355091,0.9396073818206787,0.9224834442138672,0.9505346417427063,0.9614067849361967,0.9399056747299559,0.9391261659302896,0.8734114848535767,3826,248,395,6178,0.9917586830900598,0.9866749330299843,0.00026401199999999994
epoch,13,val,0.17662452161312103,0.9197207689285278,0.8995633125305176,0.9331395626068115,0.9385964912280702,0.9277456647398844,0.9074889867841409,0.8327994672896963,206,21,25,321,0.9745903421485169,0.9671386010032849,0.00026401199999999994
epoch,14,train,0.1058930590771161,0.9452427625656128,0.9295297861099243,0.9552261829376221,0.964485111662531,0.9461433135554541,0.9437898870888561,0.8850428257750318,3845,229,354,6219,0.9926689073016752,0.9882991150853587,0.00026101299999999994
epoch,14,val,0.18702152371406555,0.9144851565361023,0.8932461738586426,0.9286754131317139,0.9354838709677419,0.9219653179190751,0.9030837004405287,0.8220714164084589,205,22,27,319,0.973129855454178,0.9673805097909398,0.00026101299999999994
epoch,15,train,0.09679051287830234,0.9515356421470642,0.9375,0.9604233503341675,0.9684454756380511,0.9525330899132816,0.9499263622974963,0.8981393979519184,3870,204,312,6261,0.9938621199952811,0.9901575530907333,0.00025801399999999993
epoch,15,val,0.17218506336212158,0.9127399921417236,0.8898678421974182,0.9277456402778625,0.9277456647398844,0.9277456647398844,0.8898678414096917,0.8176135061495761,202,25,25,321,0.9770547862579977,0.9702197550355225,0.00025801399999999993
epoch,16,train,0.09385736412214893,0.9536958932876587,0.9401626586914062,0.9622367024421692,0.9689910521443998,0.9555758405598661,0.9506627393225331,0.9025533011908631,3873,201,292,6281,0.994180272095006,0.990648359076841,0.00025501499999999993
epoch,16,val,0.1824323832988739,0.9179755449295044,0.8962472677230835,0.9321789145469666,0.930835734870317,0.9335260115606936,0.8942731277533039,0.8284322392428582,203,24,23,323,0.9803159200765557,0.972868019658272,0.00025501499999999993
epoch,17,train,0.08421238154933618,0.9594252109527588,0.9474835991859436,0.9669421315193176,0.9727482678983834,0.9612049292560475,0.9565537555228277,0.9145397387889375,3897,177,255,6318,0.9952677266519067,0.9924282262996873,0.0002520159999999999
epoch,17,val,0.1775609403848648,0.9232111573219299,0.903930127620697,0.9360465407371521,0.9415204678362573,0.930635838150289,0.9118942731277533,0.8400736566276179,207,20,24,322,0.9776280684131085,0.9721550253367625,0.0002520159999999999
epoch,18,train,0.0788850408696287,0.9601765871047974,0.9484936594963074,0.9675394296646118,0.9738018184620126,0.9613570667883767,0.958271968581247,0.9161653736593338,3904,170,254,6319,0.9959166399780448,0.9934047968956474,0.0002490169999999999
epoch,18,val,0.14543084800243378,0.9354275465011597,0.9183223247528076,0.9466089606285095,0.9452449567723343,0.9479768786127167,0.9162995594713657,0.8649374358134596,208,19,18,328,0.9848418866165807,0.9800870871635557,0.0002490169999999999
epoch,19,train,0.07556051306158036,0.9642152786254883,0.9536553025245667,0.9708559513092041,0.9763076923076923,0.9654647801612658,0.9621993127147767,0.9246116882032696,3920,154,227,6346,0.9959247412950063,0.9937941591884385,0.0002460179999999999
epoch,19,val,0.19763140380382538,0.9179755449295044,0.900634229183197,0.9301634430885315,0.9571865443425076,0.9046242774566474,0.9383259911894273,0.8329357478962295,213,14,33,313,0.9776764504006115,0.971569351429808,0.0002460179999999999
epoch,20,train,0.07250983747667647,0.9659059047698975,0.9557371139526367,0.9722752571105957,0.9762269938650306,0.9683553932755211,0.961953853706431,0.9280655116069754,3919,155,208,6365,0.996383382193825,0.9943028713961348,0.00024301899999999992
epoch,20,val,0.1782742440700531,0.9371727705001831,0.9203540086746216,0.9481267929077148,0.9454022988505747,0.9508670520231214,0.9162995594713657,0.86850564356408,208,19,17,329,0.9806074629647051,0.9751661531409945,0.00024301899999999992
epoch,21,train,0.06428640680359649,0.9700385332107544,0.9611307382583618,0.975624680519104,0.9800429843414185,0.9712460063897763,0.9680903289150712,0.9368215463727249,3944,130,189,6384,0.9971661139455633,0.9954849434256756,0.00024001999999999991
epoch,21,val,0.15151184797286987,0.9424083828926086,0.9268292784690857,0.9525179862976074,0.9484240687679083,0.9566473988439307,0.920704845814978,0.8794036156615747,209,18,15,331,0.981057201092887,0.9768149525094854,0.00024001999999999991
epoch,22,train,0.06247874126173891,0.9705080986022949,0.9616605639457703,0.976037859916687,0.9791762364109631,0.9729195192453979,0.9666175748649976,0.9377319963387393,3938,136,178,6395,0.9973244578782274,0.9956487321386838,0.0002370209999999999
epoch,22,val,0.18410581350326538,0.9406631588935852,0.9247787594795227,0.9510086178779602,0.9482758620689655,0.953757225433526,0.920704845814978,0.8758123685749041,209,18,16,330,0.9776695621769422,0.9734982557103207,0.0002370209999999999
