task,subset,support,positive_rate,precision,recall,specificity,f1,mcc,balanced_accuracy,macro_f1,weighted_f1,accuracy,hamming_loss,tn,fp,fn,tp,pr_auc,roc_auc
binary,all,103,0.34951456310679613,0.3855421686746988,0.8888888888888888,0.23880597014925373,0.5378151260504201,0.15392459541784392,0.5638474295190713,,,0.46601941747572817,,16.0,51.0,4.0,32.0,0.45909881138706354,0.5621890547263682
narrative_match,all,103,,,,,,0.08707846523013427,0.05560632213084238,0.03985550082101806,0.2858609530186363,0.1941747572815534,0.8058252427184466,,,,,,
meta_narrative_match,all,103,,,,,,0.13251281724045885,0.18114298636686696,0.14228287953925134,0.323611973631624,0.23300970873786409,0.7669902912621359,,,,,,
narrative_match,gold_narrative_only,36,,,,,,0.08977879968072768,0.04151404151404151,0.033884297520661154,0.15606060606060607,0.1111111111111111,0.8888888888888888,,,,,,
meta_narrative_match,gold_narrative_only,36,,,,,,0.18403360151045514,0.1696103896103896,0.1388888888888889,0.30709876543209874,0.2222222222222222,0.7777777777777778,,,,,,
