phase,epoch,split,loss,general_f1,class_0_f1,class_1_f1,precision,recall,specificity,mcc,tn,fp,fn,tp,pr_auc,roc_auc,learning_rate
epoch,1,train,0.7715081710048038,0.6865187883377075,0.7695348262786865,0.5100242495536804,0.6082001946973601,0.4391383444968163,0.8327630035197497,0.29654883930708303,34070,6842,13565,10621,0.6285581472902431,0.6697397528486455,0.0003
epoch,1,val,0.7802742719650269,0.7293639779090881,0.8190789222717285,0.46315276622772217,0.6927007299270073,0.34787390029325516,0.922051471949639,0.34048773606462424,4980,421,1779,949,0.5633137869525373,0.6505409826897485,0.0003
epoch,2,train,0.7293616977165607,0.7250299453735352,0.8026722073554993,0.5466517806053162,0.7054516930317689,0.44620855040105845,0.8898611654282362,0.38300527790581534,36406,4506,13394,10792,0.6760558075476463,0.7097856268543349,0.00029700099999999997
epoch,2,val,0.7469521164894104,0.7565506100654602,0.8354535698890686,0.532261848449707,0.7491683300066534,0.41275659824046923,0.9301981114608406,0.4171486446335275,5024,377,1602,1126,0.6043494651419516,0.6766432210066453,0.00029700099999999997
epoch,3,train,0.6841930299924105,0.7399766445159912,0.806009829044342,0.6057896018028259,0.6935423665546846,0.5377491110559828,0.8595277669143527,0.4239004219254763,35165,5747,11180,13006,0.7280624516985068,0.7687051448143335,0.00029400199999999997
epoch,3,val,0.833538830280304,0.42470884323120117,0.4069814682006836,0.5056952834129333,0.3652060596188304,0.8218475073313783,0.2784669505647102,0.11016596608409109,1504,3897,486,2242,0.6002383926377852,0.6780445106016535,0.00029400199999999997
epoch,4,train,0.6588353793949109,0.7549387216567993,0.8157916069030762,0.634046733379364,0.7121141856031329,0.5714049450095097,0.8634385999217833,0.45935227606673384,35325,5587,10366,13820,0.750004055813812,0.789490506329984,0.00029100299999999996
epoch,4,val,0.7154034376144409,0.7753721475601196,0.8498849272727966,0.5539814233779907,0.8301610541727672,0.4156891495601173,0.9570449916682096,0.47072081478040667,5169,232,1594,1134,0.6369321447748895,0.6880512786542734,0.00029100299999999996
epoch,5,train,0.6447101399851666,0.7663061618804932,0.8266699910163879,0.6414311528205872,0.7459569102571131,0.5625981973042256,0.8867324990222918,0.48346151300550055,36278,4634,10579,13607,0.7593351827890424,0.7971787455475183,0.00028800399999999996
epoch,5,val,0.7507369518280029,0.7575347423553467,0.8387730121612549,0.5112819075584412,0.7900383141762453,0.3779325513196481,0.9492686539529717,0.42087138728787354,5127,274,1697,1031,0.596065538302524,0.6592090378071618,0.00028800399999999996
